Customer ID: 7590-VHVEG, Churn Probability: 0.8182032476788748
Customer ID: 3197-ARFOY, Churn Probability: 0.7100098507019632
Customer ID: 7014-ZZXAW, Churn Probability: 0.0161913071523046
Customer ID: 7633-MVPUY, Churn Probability: 0.0645094893977244
Customer ID: 4716-HHKQH, Churn Probability: 0.812585519322085
Customer ID: 3179-GBRWV, Churn Probability: 0.6069591668550979
Customer ID: 8645-KWHJO, Churn Probability: 0.7526029764283779
Customer ID: 4130-MZLCC, Churn Probability: 0.6315333279351544
Customer ID: 0314-TKOSI, Churn Probability: 0.5070249993338868
Customer ID: 8229-MYEJZ, Churn Probability: 0.6620982453598551
Customer ID: 2080-SRCDE, Churn Probability: 0.16712396921419
Customer ID: 9577-WJVCQ, Churn Probability: 0.12534361883266665
Customer ID: 6202-DYYFX, Churn Probability: 0.5319891026066309
Customer ID: 3808-HFKDE, Churn Probability: 0.682566167117168
Customer ID: 3727-OWVYD, Churn Probability: 0.1493777953969977
Customer ID: 2294-SALNE, Churn Probability: 0.40438812246987293
Customer ID: 4847-TAJYI, Churn Probability: 0.9155823072600731
Customer ID: 1563-IWQEX, Churn Probability: 0.34660330245000204
Customer ID: 8203-XJZRC, Churn Probability: 0.4424946076782153
Customer ID: 6556-DBKZF, Churn Probability: 0.03568969768106816
Customer ID: 6851-WEFYX, Churn Probability: 0.8552243960796362
Customer ID: 2985-JUUBZ, Churn Probability: 0.370368129530672
Customer ID: 0895-LMRSF, Churn Probability: 0.5274999755013954
Customer ID: 8266-VBFQL, Churn Probability: 0.8562254322839162
Customer ID: 8181-YHCMF, Churn Probability: 0.05112682261365737
Customer ID: 2240-HSJQD, Churn Probability: 0.27344945086178807
Customer ID: 1248-DYXUB, Churn Probability: 0.006341729255089875
Customer ID: 4115-BNPJY, Churn Probability: 0.195085381803871
Customer ID: 3167-SNQPL, Churn Probability: 0.46437839333139924
Customer ID: 4091-TVOCN, Churn Probability: 0.23240032779811093
Customer ID: 1098-TDVUQ, Churn Probability: 0.5484663971383694
Customer ID: 7277-OZCGZ, Churn Probability: 0.7109501385816362
Customer ID: 1557-EMYVT, Churn Probability: 0.14479544256354643
Customer ID: 2799-ARNLO, Churn Probability: 0.8892963610034039
Customer ID: 5027-YOCXN, Churn Probability: 0.2733212231541979
Customer ID: 3973-SKMLN, Churn Probability: 0.01221654202772591
Customer ID: 6745-JEFZB, Churn Probability: 0.6572365605203803
Customer ID: 9880-TDQAC, Churn Probability: 0.09545890114048312
Customer ID: 8705-WZCYL, Churn Probability: 0.8003545703373752
Customer ID: 7102-JJVTX, Churn Probability: 0.35991402251548915
Customer ID: 8626-PTQGE, Churn Probability: 0.04395795644863171
Customer ID: 4983-CLMLV, Churn Probability: 0.6135462571832637
Customer ID: 5701-YVSVF, Churn Probability: 0.8623512931512055
Customer ID: 5697-GOMBF, Churn Probability: 0.36843295576182516
Customer ID: 2739-CACDQ, Churn Probability: 0.7520203509241811
Customer ID: 9385-EHGDO, Churn Probability: 0.01751303482388853
Customer ID: 9498-FIMXL, Churn Probability: 0.2911919448395635
Customer ID: 2379-GYFLQ, Churn Probability: 0.4107902040950496
Customer ID: 2088-IEBAU, Churn Probability: 0.08787853041074654
Customer ID: 7982-VCELR, Churn Probability: 0.7293187653611093
Customer ID: 6035-BXTTY, Churn Probability: 0.3591864781537381
Customer ID: 6885-PKOAM, Churn Probability: 0.04332368187604269
Customer ID: 7520-HQWJU, Churn Probability: 0.0648355206335118
Customer ID: 9639-BUJXT, Churn Probability: 0.030974014578767726
Customer ID: 5924-SNGKP, Churn Probability: 0.09026565812636461
Customer ID: 0021-IKXGC, Churn Probability: 0.8837948129904503
Customer ID: 8966-SNIZF, Churn Probability: 0.013005539649995797
Customer ID: 6243-OZGFH, Churn Probability: 0.753391642392637
Customer ID: 4654-DLAMQ, Churn Probability: 0.2545459689314471
Customer ID: 0513-RBGPE, Churn Probability: 0.08226516433028494
Customer ID: 5160-UXJED, Churn Probability: 0.342688922395816
Customer ID: 4115-NZRKS, Churn Probability: 0.9122629000091425
Customer ID: 3351-NGXYI, Churn Probability: 0.6379072085069859
Customer ID: 8984-EYLLL, Churn Probability: 0.2862843450917634
Customer ID: 9833-TGFHX, Churn Probability: 0.4944741244258867
Customer ID: 9294-TDIPC, Churn Probability: 0.14109640527522974
Customer ID: 5229-DTFYB, Churn Probability: 0.29005032583241563
Customer ID: 0104-PPXDV, Churn Probability: 0.12103999780843527
Customer ID: 5176-LMJXE, Churn Probability: 0.036590951116150114
Customer ID: 3583-KRKMD, Churn Probability: 0.6924417786728817
Customer ID: 9069-LGEUL, Churn Probability: 0.5947250477475788
Customer ID: 7302-ZHMHP, Churn Probability: 0.451888472930184
Customer ID: 9571-EDEBV, Churn Probability: 0.3908772180017044
Customer ID: 3520-FJGCV, Churn Probability: 0.03344599079575263
Customer ID: 6563-VRERX, Churn Probability: 0.11118545277056033
Customer ID: 6122-EFVKN, Churn Probability: 0.07494230838840209
Customer ID: 2805-EDJPQ, Churn Probability: 0.34932113196861453
Customer ID: 6862-CQUMB, Churn Probability: 0.7173008307753929
Customer ID: 7156-MXBJE, Churn Probability: 0.22186352926634315
Customer ID: 6158-HDPXZ, Churn Probability: 0.6633696718229869
Customer ID: 2863-IMQDR, Churn Probability: 0.07339501676013796
Customer ID: 5686-CMAWK, Churn Probability: 0.5100113029516404
Customer ID: 5651-CRHKQ, Churn Probability: 0.3807104213118074
Customer ID: 8204-YJCLA, Churn Probability: 0.05362672032188712
Customer ID: 6583-SZVGP, Churn Probability: 0.31987876035685686
Customer ID: 1708-PBBOA, Churn Probability: 0.21349223502133172
Customer ID: 8782-LKFPK, Churn Probability: 0.6638507824722246
Customer ID: 5522-JBWMO, Churn Probability: 0.4000415092194239
Customer ID: 3597-MVHJT, Churn Probability: 0.8096023254460861
Customer ID: 9774-NRNAU, Churn Probability: 0.6625537586956524
Customer ID: 0224-RLWWD, Churn Probability: 0.808931799203671
Customer ID: 9967-ATRFS, Churn Probability: 0.28336795736618203
Customer ID: 3951-NJCVI, Churn Probability: 0.8334345803254017
Customer ID: 2977-CEBSX, Churn Probability: 0.05905500794472657
Customer ID: 0177-PXBAT, Churn Probability: 0.6986095853149066
Customer ID: 2519-ERQOJ, Churn Probability: 0.6296912534724094
Customer ID: 5876-QMYLD, Churn Probability: 0.15504848667122745
Customer ID: 2277-AXSDC, Churn Probability: 0.1028167553286984
Customer ID: 9442-JTWDL, Churn Probability: 0.18376397614398174
Customer ID: 3067-SVMTC, Churn Probability: 0.05835591408628067
Customer ID: 5495-GPSRW, Churn Probability: 0.09530052319577977
Customer ID: 7606-BPHHN, Churn Probability: 0.011792914826095126
Customer ID: 4742-DRORA, Churn Probability: 0.3258754599534333
Customer ID: 0111-KLBQG, Churn Probability: 0.4868496952271783
Customer ID: 4163-NCJAK, Churn Probability: 0.10358097943677685
Customer ID: 5233-AOZUF, Churn Probability: 0.785413527199467
Customer ID: 5973-EJGDP, Churn Probability: 0.5334662066147845
Customer ID: 1996-DBMUS, Churn Probability: 0.6162542184007171
Customer ID: 7916-VCCPB, Churn Probability: 0.3751041497957146
Customer ID: 4686-GEFRM, Churn Probability: 0.1513897167630538
Customer ID: 5249-QYHEX, Churn Probability: 0.01478424828104274
Customer ID: 2233-FAGXV, Churn Probability: 0.22340351993370583
Customer ID: 5605-IYGFG, Churn Probability: 0.8114086762304165
Customer ID: 7663-ZTEGJ, Churn Probability: 0.3670566513015633
Customer ID: 3935-TBRZZ, Churn Probability: 0.07615374559653962
Customer ID: 8111-BKVDS, Churn Probability: 0.4664469535310578
Customer ID: 2055-SIFSS, Churn Probability: 0.30500476643780877
Customer ID: 2806-MLNTI, Churn Probability: 0.5541716299242252
Customer ID: 8734-DKSTZ, Churn Probability: 0.5916272314478561
Customer ID: 4360-PNRQB, Churn Probability: 0.7517543675305505
Customer ID: 6152-ONASV, Churn Probability: 0.05970584727956729
Customer ID: 7781-HVGMK, Churn Probability: 0.04382462242187199
Customer ID: 2181-UAESM, Churn Probability: 0.6335460134330648
Customer ID: 6048-NJXHX, Churn Probability: 0.07343123296287998
Customer ID: 2320-SLKMB, Churn Probability: 0.48617881752114134
Customer ID: 4980-URKXC, Churn Probability: 0.10152992775139907
Customer ID: 4376-KFVRS, Churn Probability: 0.13030722565846212
Customer ID: 5886-VLQVU, Churn Probability: 0.6985905200219347
Customer ID: 3577-AMVUX, Churn Probability: 0.5891642382857708
Customer ID: 0771-WLCLA, Churn Probability: 0.530073531040463
Customer ID: 5628-RKIFK, Churn Probability: 0.5212159533813157
Customer ID: 0206-TBWLC, Churn Probability: 0.3638114847204445
Customer ID: 2937-FTHUR, Churn Probability: 0.25902791549601967
Customer ID: 1910-FMXJM, Churn Probability: 0.741719026328811
Customer ID: 0732-OCQOC, Churn Probability: 0.03822127784691577
Customer ID: 5168-MSWXT, Churn Probability: 0.7199290892848945
Customer ID: 1090-ESELR, Churn Probability: 0.09773149427306878
Customer ID: 8592-PLTMQ, Churn Probability: 0.03248971704290007
Customer ID: 5760-WRAHC, Churn Probability: 0.5027938494134583
Customer ID: 8847-GEOOQ, Churn Probability: 0.35547774616581107
Customer ID: 4785-FCIFB, Churn Probability: 0.0185869596335277
Customer ID: 8313-NDOIA, Churn Probability: 0.8541410929344352
Customer ID: 5149-CUZUJ, Churn Probability: 0.4489968729731588
Customer ID: 0942-KOWSM, Churn Probability: 0.19336704044591244
Customer ID: 4237-CLSMM, Churn Probability: 0.47581758688933007
Customer ID: 1452-VOQCH, Churn Probability: 0.8715285509843269
Customer ID: 4719-UMSIY, Churn Probability: 0.13526671393353326
Customer ID: 6614-VBEGU, Churn Probability: 0.7245206379753357
Customer ID: 1480-BKXGA, Churn Probability: 0.15826306957459568
Customer ID: 2996-XAUVF, Churn Probability: 0.041729765593849256
Customer ID: 9076-AXYIK, Churn Probability: 0.23168639358337495
Customer ID: 5968-XQIVE, Churn Probability: 0.39104058070292314
Customer ID: 8896-RAZCR, Churn Probability: 0.028958147685220117
Customer ID: 4933-IKULF, Churn Probability: 0.17789069415466538
Customer ID: 1304-BCCFO, Churn Probability: 0.8063675663345256
Customer ID: 4104-PVRPS, Churn Probability: 0.3454325334393352
Customer ID: 3780-DDGSE, Churn Probability: 0.3312023537679913
Customer ID: 4431-EDMIQ, Churn Probability: 0.34928002365361605
Customer ID: 0486-LGCCH, Churn Probability: 0.03012691299261841
Customer ID: 4612-SSVHJ, Churn Probability: 0.8513833499928274
Customer ID: 5168-MQQCA, Churn Probability: 0.3760787698755896
Customer ID: 7971-HLVXI, Churn Probability: 0.043164476879089156
Customer ID: 9094-AZPHK, Churn Probability: 0.8786179801708645
Customer ID: 3649-JPUGY, Churn Probability: 0.08224904375344355
Customer ID: 4472-LVYGI, Churn Probability: 0.3052543377489644
Customer ID: 3552-CTCYF, Churn Probability: 0.08683448627766147
Customer ID: 6778-YSNIH, Churn Probability: 0.8194423884437991
Customer ID: 5756-OZRIO, Churn Probability: 0.180432734430129
Customer ID: 6579-JPICP, Churn Probability: 0.4421365721571502
Customer ID: 4134-BSXLX, Churn Probability: 0.30563148775453625
Customer ID: 0505-SPOOW, Churn Probability: 0.013186853290702964
Customer ID: 4374-YMUSQ, Churn Probability: 0.3174518713781546
Customer ID: 4513-CXYIX, Churn Probability: 0.09025539752525243
Customer ID: 3957-HHLMR, Churn Probability: 0.10300694134034415
Customer ID: 7803-XOCCZ, Churn Probability: 0.1439830016862621
Customer ID: 5736-YEJAX, Churn Probability: 0.0364904860282518
Customer ID: 8981-FJGLA, Churn Probability: 0.46187903664499114
Customer ID: 1135-LMECX, Churn Probability: 0.45038975501596473
Customer ID: 4332-MUOEZ, Churn Probability: 0.3973158184208087
Customer ID: 8535-SFUTN, Churn Probability: 0.6188133678475698
Customer ID: 8677-HDZEE, Churn Probability: 0.6003702992846366
Customer ID: 2475-MROZF, Churn Probability: 0.463011757454749
Customer ID: 3482-ABPKK, Churn Probability: 0.1567978397196304
Customer ID: 6705-LXORM, Churn Probability: 0.8489610682270596
Customer ID: 7531-GQHME, Churn Probability: 0.31225701080111984
Customer ID: 5174-ITUMV, Churn Probability: 0.2121224700763375
Customer ID: 4109-CYRBD, Churn Probability: 0.663727960490609
Customer ID: 0913-XWSCN, Churn Probability: 0.2312514176203637
Customer ID: 0750-EBAIU, Churn Probability: 0.3129612406140669
Customer ID: 8606-CIQUL, Churn Probability: 0.03744528226450602
Customer ID: 3571-DPYUH, Churn Probability: 0.09745385414683604
Customer ID: 7601-GNDYK, Churn Probability: 0.011866333120981115
Customer ID: 0356-OBMAC, Churn Probability: 0.19185528041586705
Customer ID: 8067-NIOYM, Churn Probability: 0.023806240057033693
Customer ID: 1403-GYAFU, Churn Probability: 0.0026498625838542113
Customer ID: 4234-XTNEA, Churn Probability: 0.8926967369266191
Customer ID: 1297-VQDRP, Churn Probability: 0.1317018821048347
Customer ID: 5348-CAGXB, Churn Probability: 0.8613296536498716
Customer ID: 0621-HJWXJ, Churn Probability: 0.48992858600574685
Customer ID: 5844-QVTAT, Churn Probability: 0.2508788579130114
Customer ID: 8905-IAZPF, Churn Probability: 0.3920756533408448
Customer ID: 5394-MEITZ, Churn Probability: 0.13017462510180114
Customer ID: 6859-QNXIQ, Churn Probability: 0.04151267403408163
Customer ID: 2782-LFZVW, Churn Probability: 0.7333197927450882
Customer ID: 2866-IKBTM, Churn Probability: 0.4521099625199854
Customer ID: 7129-AZJDE, Churn Probability: 0.2533575856878147
Customer ID: 2560-PPCHE, Churn Probability: 0.3578966380453631
Customer ID: 4676-MQUEA, Churn Probability: 0.401224773989514
Customer ID: 8138-EALND, Churn Probability: 0.3139882271105765
Customer ID: 3580-HYCSP, Churn Probability: 0.05115349544485477
Customer ID: 1352-HNSAW, Churn Probability: 0.041304238618396126
Customer ID: 2075-PUEPR, Churn Probability: 0.005731033085281467
Customer ID: 1982-FEBTD, Churn Probability: 0.025028847576980904
Customer ID: 5791-KAJFD, Churn Probability: 0.20589700163932956
Customer ID: 2654-VBVPB, Churn Probability: 0.46267863035034845
Customer ID: 1154-HYWWO, Churn Probability: 0.14078817588251735
Customer ID: 2501-XWWTZ, Churn Probability: 0.7803946410654424
Customer ID: 3716-UVSPD, Churn Probability: 0.7474187908479011
Customer ID: 6815-ABQFQ, Churn Probability: 0.5310089731409924
Customer ID: 7343-EOBEU, Churn Probability: 0.5567904873908612
Customer ID: 3701-SFMUH, Churn Probability: 0.31093313977426057
Customer ID: 6103-LIANB, Churn Probability: 0.08530310462989026
